Bug_id, Number of Functions, total cyclomatic complexity, total lines of code,total token_count,total parameters
113821,18.0,42.0,174.0,1154.0,26.0
113688,38.0,89.0,327.0,2095.0,43.0
113557,10.65,25.85,106.15,664.7,6.5
113582,17.0,40.0,162.0,1089.0,24.0
102893,22.842105263157894,64.78947368421052,233.47368421052633,1473.0526315789473,22.57894736842105
113276,5.0,8.0,35.0,259.0,5.0
108162,2.5,5.0,20.0,111.5,1.0
113255,24.0,60.0,314.0,2057.0,24.0
72374,41.0,87.0,397.0,2437.0,35.0
113085,12.0,56.0,182.0,1177.0,13.0
70597,3.0,3.0,10.0,40.0,2.0
105874,33.0,78.0,294.0,1784.0,25.0
105351,4.0,13.0,57.0,346.0,6.0
71600,58.0,155.0,630.0,3912.0,57.0
112136,10.0,31.333333333333332,146.66666666666666,1111.0,4.0
112106,12.0,44.0,192.0,1270.0,9.0
112490,6.4,22.2,75.6,425.2,5.6
104047,37.0,79.0,280.0,2018.0,52.0
83711,12.0,22.0,79.0,418.0,11.0
112240,4.0,26.0,97.0,648.0,7.0
112247,0.5,1.5,31.0,276.0,0.0
11428,31.0,68.0,331.0,2554.0,17.0
111429,8.0,15.0,144.0,898.0,7.0
11983,37.0,79.0,280.0,2017.0,52.0
110076,7.25,17.75,57.5,325.25,4.75
111889,136.0,431.0,1767.0,10703.0,87.0
111802,6.0,33.0,107.0,669.0,16.0
111064,6.0,33.0,107.0,669.0,16.0
33550,26.666666666666668,77.66666666666667,335.6666666666667,2123.0,23.0
111058,6.833333333333333,13.333333333333334,42.5,233.33333333333334,4.166666666666667
110728,36.4,103.4,456.2,2893.8,23.4
111415,44.0,199.0,1335.0,9336.0,23.0
111244,27.333333333333332,62.333333333333336,203.33333333333334,1089.0,23.666666666666668
108705,4.0,8.0,21.0,120.0,4.0
107377,6.0,15.666666666666666,72.0,422.6666666666667,5.333333333333333
20831,12.25,20.75,87.5,518.0,9.5
96284,11.0,37.0,124.0,775.0,5.0
109329,37.0,71.0,237.0,1190.0,22.0
2389,33.0,62.0,239.0,1385.0,33.0
109474,27.0,85.0,843.0,5662.0,18.0
110331,10.0,26.2,128.7,942.0,4.9
107978,45.0,87.0,552.0,3665.0,37.0
110354,64.0,239.0,781.0,4850.0,76.0
109639,15.0,76.0,300.0,1608.0,11.0
110243,29.0,67.0,326.0,2535.0,17.0
109011,47.0,217.0,896.0,5463.0,48.0
110150,29.0,67.0,326.0,2538.0,17.0
109932,19.0,46.0,217.0,1334.5,10.0
102776,1.6666666666666667,1.6666666666666667,17.666666666666668,126.66666666666667,2.6666666666666665
99723,59.6,169.8,640.2,3961.0,56.6
109439,6.0,6.0,26.0,148.0,1.0
87211,19.5,63.25,235.5,1520.25,21.5
109393,63.0,148.0,610.0,3842.0,60.0
77979,19.0,42.0,226.0,1396.0,9.0
87683,8.0,16.0,75.0,442.0,7.0
109296,45.333333333333336,143.66666666666666,604.6666666666666,3728.6666666666665,28.666666666666668
100816,43.0,131.0,573.0,4076.0,31.0
106557,39.0,154.0,507.0,3406.0,52.0
109138,0,0,0,0,0
108873,51.0,166.0,615.0,3842.0,40.0
108496,53.0,106.0,375.0,2148.0,73.0
95658,57.666666666666664,167.33333333333334,726.3333333333334,4338.666666666667,38.0
105185,16.0,50.75,251.75,1628.75,11.75
108953,19.0,44.0,328.0,2208.0,21.0
108107,33.0,65.0,173.0,1028.0,13.0
108709,13.0,42.0,171.0,957.0,18.0
90825,7.0,24.0,116.5,810.5,6.0
102285,20.0,83.0,433.5,2674.0,24.0
106704,16.0,52.0,261.0,1902.0,14.0
108624,9.0,9.0,27.0,128.0,5.0
70576,11.0,31.0,134.0,1047.0,11.0
82706,63.0,148.0,609.0,3840.0,60.0
88345,57.4,169.6,644.8,4045.8,48.6
96600,7.8,42.8,186.33333333333334,1173.3333333333333,8.4
108143,33.5,78.5,383.5,2244.5,20.5
108144,17.0,56.0,183.0,1020.0,13.0
98621,3.5,5.5,24.0,135.0,1.5
108017,48.0,94.0,619.0,4068.0,39.0
102485,26.0,45.0,141.0,723.0,9.0
76092,78.0,251.0,1128.0,7645.0,58.0
106959,4.75,13.0,52.25,326.5,3.5
107854,12.0,21.0,69.0,352.0,11.0
107765,47.0,191.0,820.0,5614.0,70.0
97523,26.4,60.8,290.8,1753.4,16.6
107038,3.0,11.0,50.0,302.0,4.0
66526,10.0,28.5,114.5,737.0,30.0
90646,12.25,29.25,117.0,685.25,10.75
107660,78.0,251.0,1133.0,7682.0,58.0
64874,43.0,131.5,608.0,4124.5,31.5
68787,12.545454545454545,27.977272727272727,119.13636363636364,748.8863636363636,9.113636363636363
67375,77.0,248.0,1124.0,7631.0,57.0
97308,13.0,19.333333333333332,127.0,822.3333333333334,7.666666666666667
107471,21.5,69.0,298.5,2074.0,16.5
102102,14.0,51.0,304.5,1962.5,16.0
106532,23.0,56.0,286.0,1731.0,15.0
106890,23.0,56.0,279.0,1697.0,15.0
70321,7.0,23.0,123.0,854.0,5.0
107376,20.0,24.0,81.0,455.0,2.0
107369,5.0,8.0,24.0,146.0,3.0
82743,22.428571428571427,46.285714285714285,198.85714285714286,1271.4285714285713,13.928571428571429
98800,9.4,20.4,94.6,593.8,7.2
101180,27.0,97.0,598.0,3855.0,31.0
82502,16.0,22.333333333333332,77.0,393.0,5.666666666666667
101683,53.0,94.0,395.0,2228.0,37.0
78777,13.0,21.0,126.0,813.0,4.0
76978,33.0,118.125,365.75,2363.0,36.625
74099,10.5,41.0,195.0,1281.5,8.0
96129,30.833333333333332,90.25,359.8333333333333,2305.0,28.166666666666668
106884,28.0,79.0,289.0,1826.5,28.0
105807,78.0,217.0,809.0,4916.0,63.0
100908,78.0,217.0,798.0,4650.0,63.0
97143,50.0,158.0,593.0,3688.0,39.0
106574,32.0,110.5,615.0,4196.5,24.0
98248,23.0,42.6,159.6,985.4,17.0
60462,14.0,26.0,106.0,599.0,9.0
106388,41.166666666666664,121.5,461.6666666666667,2884.1666666666665,35.166666666666664
106363,11.5,20.0,66.5,355.0,6.5
106360,14.0,33.0,109.0,523.0,7.0
97882,12.0,29.8,119.8,742.8,10.8
106157,14.0,35.0,123.0,803.0,13.0
99864,13.0,34.0,154.0,907.0,23.0
76496,35.0,151.0,655.0,4200.0,26.0
101065,4.0,17.0,90.0,525.0,3.0
105936,19.0,41.0,153.0,738.0,9.0
86159,13.235294117647058,36.11764705882353,145.47058823529412,873.5294117647059,13.352941176470589
105665,30.0,139.0,594.0,3737.0,23.0
95815,58.0,153.0,629.0,3874.0,57.0
7022,43.25,109.75,470.5,2730.5,20.25
105776,10.0,23.0,194.0,1037.0,6.0
105913,8.0,34.0,124.0,703.0,11.0
17826,14.5,31.0,152.5,949.0,23.5
105576,26.0,46.0,340.0,2342.0,27.0
29398,26.0,34.0,133.0,625.0,19.0
105837,16.0,42.0,234.0,1689.0,11.0
105809,21.833333333333332,39.166666666666664,218.5,1530.6666666666667,17.0
105816,21.069444444444443,63.625,281.27777777777777,1815.9166666666667,18.125
101215,7.666666666666667,28.666666666666668,92.66666666666667,534.3333333333334,9.333333333333334
105697,26.5,94.0,380.0,2197.5,39.5
