file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
257167,cda8930,,18.5,0.0,0.0,0.0,30.0,2.0,0.0,42.0,121.5,NaN,NaN,NaN,11.5,0.0,7.5,4.0,0.0,0.0,0,0.0,0.0,0.5,314.0,310.0,308.0,6.0,0.0,0.0,1.5,0.0,0.0,459.5,7.0,3.0,10.0,1.0,0.5,26.0,6.5,36.0,22.5,337.5,2.0,1.5,0.0,0.0,347.5,1.0,0.0
270952,e1e81e6,,24.0,0.0,0.0,0.0,61.0,2.0,0.0,47.0,54.0,0.74603176,0.375,0.375,21.0,0.0,15.0,5.0,1.0,0.0,0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,190.0,22.0,10.0,15.0,0.0,8.0,0.0,14.0,57.0,0.0,50.0,3.0,1.0,0.0,0.0,205.0,1.0,0.0
272763,d36db75,,11.0,0.0,0.0,0.0,39.0,2.0,0.0,27.0,0.0,0.45000002,0.7,1.0,5.0,0.0,5.0,0.0,0.0,0.0,0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,146.0,2.0,5.0,3.0,2.0,0.0,16.0,7.0,35.0,10.0,24.0,7.0,0.0,0.0,0.0,124.0,17.0,0.0
239518,11e419a,,16.0,0.0,0.0,0.0,28.0,6.0,0.0,22.0,21.0,0.8263157,0.16666667,0.44444445,10.0,0.0,9.0,1.0,0.0,0.0,0,0.0,0.0,0.0,19.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,347.0,7.0,0.0,17.0,0.0,0.0,0.0,0.0,20.0,0.0,19.0,1.0,2.0,7.0,0.0,110.0,1.0,0.0
219536,cdd57f3,,4.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,1.0,0.0
196691,cf5c924,,39.0,0.0,0.0,0.0,118.0,2.0,0.0,100.0,1080.0,0.9479166,0.022759601,0.07823613,48.0,0.0,17.0,10.0,21.0,0.0,0,1.0,6.0,0.0,10.0,4.0,0.0,9.0,1.0,0.0,4.0,0.0,0.0,521.0,36.0,6.0,32.0,0.0,6.0,11.0,19.0,84.0,4.0,76.0,4.0,10.0,0.0,0.0,418.0,1025.0,0.0
155008,ff15528,,5.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,28.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,1.0,0.0
268819,fcb2740,,16.0,0.0,0.0,0.0,12.0,2.0,0.0,33.0,2.0,0.75,0.4642857,0.75,8.0,0.0,3.0,0.0,5.0,0.0,0,0.0,0.0,0.0,8.0,3.0,0.0,8.0,0.0,0.0,3.0,0.0,3.0,111.0,2.0,2.0,1.0,0.0,0.0,0.0,18.0,29.0,1.0,25.0,2.0,3.0,0.0,0.0,81.0,1.0,0.0
269264,74415bd,,19.0,0.0,0.0,0.0,55.0,2.0,0.0,47.0,0.0,0.6,0.589916,0.589916,35.0,0.0,9.0,0.0,26.0,0.0,0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,188.0,21.0,4.0,8.0,0.0,1.0,2.0,15.0,25.0,0.0,22.0,3.0,1.0,0.0,0.0,275.0,1.0,0.0
258253,f9928f1,,29.0,0.0,0.0,0.0,93.0,2.0,0.0,58.0,138.0,0.8981481,0.06666667,0.08888889,20.0,0.0,8.0,10.0,2.0,0.0,0,0.0,4.0,0.0,27.0,2.0,0.0,25.0,0.0,2.0,6.0,0.0,0.0,557.0,12.0,0.0,47.0,0.0,11.0,7.0,8.0,112.0,7.0,75.0,6.0,6.0,0.0,0.0,141.0,1.0,0.0
